node_id,avg_gpu_usage_pct,avg_cpu_usage_pct,total_hours_observed,num_instances,failure_rate,is_underutilized,estimated_idle_hours,estimated_savings_usd
939,14.901077118345112,271.7922835898524,180.17416666666668,235,0.1276595744680851,True,153.32627514433102,383.32
814,17.4429294061232,212.2118971781966,185.02444444444444,167,0.10179640718562874,False,152.75076121592835,381.88
1290,15.714180666746561,274.71080101048614,180.9188888888889,125,0.264,False,152.48896782861843,381.22
534,11.716179868600861,255.0873405247799,172.20055555555555,135,0.26666666666666666,True,152.02522873193672,380.06
203,9.844738899380072,368.9892510529979,168.5075,185,0.3081081081081081,True,151.91837659912713,379.8
1629,12.927214287188885,344.46446770469527,174.43805555555554,154,0.33766233766233766,True,151.8880743154833,379.72
269,15.821297078360812,199.70096961941277,179.96138888888888,271,0.1033210332103321,False,151.48916292643355,378.72
481,12.42626797990172,238.14640624928515,172.83305555555555,164,0.2682926829268293,True,151.3563569143698,378.39
809,9.398503710909077,309.4347726063888,166.8825,112,0.36607142857142855,True,151.19804204464216,378.0
449,22.86899149085982,182.1977050712771,195.6011111111111,151,0.08609271523178808,False,150.86910965508386,377.17
382,11.506833833995653,264.9312799433672,170.44333333333333,137,0.25547445255474455,True,150.83070218554334,377.08
1716,12.043476644503716,177.62565098376913,171.36972222222224,115,0.2,True,150.73084975063801,376.83
1683,8.559327239234573,158.78937141623965,164.82972222222224,102,0.4117647058823529,True,150.7214069097009,376.8
864,13.865008498756442,292.3868686174823,174.6255555555556,158,0.24050632911392406,True,150.41370743677714,376.03
1421,15.216972117870888,191.53995736732168,177.3097222222222,240,0.1375,False,150.32855122939233,375.82
744,9.445524025035928,232.24475938643803,165.91194444444446,165,0.30303030303030304,True,150.24069187154018,375.6
1590,18.75205773734804,169.15548510826358,184.57916666666665,243,0.1440329218106996,False,149.96677476221745,374.92
1306,16.88274209538654,197.07182566759187,180.29916666666668,220,0.1590909090909091,False,149.85972335820222,374.65
511,18.186432321134514,251.36627169585768,182.78027777777777,232,0.09051724137931035,False,149.53906626334054,373.85
1634,12.77550249146433,246.6557578552988,171.26916666666665,153,0.30718954248366015,True,149.38867001205645,373.47
12,16.792873171396405,223.9339731367017,179.16916666666668,183,0.16393442622950818,False,149.0815157460855,372.7
1209,18.22221709333854,283.8752114532386,180.62555555555554,191,0.09947643979057591,False,147.71157469617341,369.28
175,13.89593675913401,259.097487380876,171.47833333333332,159,0.16981132075471697,True,147.64981257771632,369.12
712,17.213542429552927,210.58854317264291,178.1961111111111,190,0.08421052631578947,False,147.5222479171867,368.81
661,17.77628010922409,195.02860195126678,179.1483333333333,260,0.13846153846153847,False,147.3024237889935,368.26
1687,12.347790451493763,304.24294456428737,167.93444444444444,137,0.20437956204379562,True,147.19825114856422,368.0
25,34.188410880117324,493.1668164080345,223.07972222222224,100,0.27,False,146.8123101986645,367.03
131,15.605928805916207,231.15523965368305,173.7772222222222,241,0.17427385892116182,False,146.65767264132342,366.64
639,15.817075447323905,244.78840015846566,173.6822222222222,185,0.12972972972972974,False,146.21077409474455,365.53
451,19.203803034614047,382.7698422465978,180.94888888888886,146,0.2328767123287671,False,146.19982067334402,365.5
1355,20.111638316226998,172.51616707658616,182.78944444444443,223,0.11210762331838565,False,146.02749249753708,365.07
771,13.295697750850682,198.3111886265793,167.66861111111112,116,0.1810344827586207,True,145.37589935472852,363.44
1672,12.87082810312883,270.853473571252,166.71527777777777,142,0.29577464788732394,True,145.25764095334625,363.14
669,15.05015321365262,206.88321770072517,170.93666666666667,243,0.14814814814814814,False,145.21043643502267,363.03
1700,9.004718310527306,364.53525185688136,159.48666666666665,226,0.2831858407079646,True,145.12534159048369,362.81
1718,19.184170689816153,209.84011199014336,179.185,170,0.11764705882352941,False,144.80984374945294,362.02
1292,16.92998517009289,241.79779697415879,174.26638888888888,150,0.14,False,144.7631150935436,361.91
727,14.941223840806439,165.44166517883957,169.95444444444445,206,0.21359223300970873,True,144.561170472601,361.4
1276,14.87979555921656,210.0934534826614,169.7108333333333,199,0.1407035175879397,True,144.45820829149056,361.15
964,16.067883730832843,203.5633104136867,171.48472222222222,267,0.10861423220973783,False,143.93075643941387,359.83
1043,21.387772823411343,205.9262795844358,181.81166666666667,190,0.1,False,142.9262004335421,357.32
1680,11.123904189440799,440.72395080307996,160.73694444444442,140,0.30714285714285716,True,142.85672074740972,357.14
1596,20.430220061665423,187.18016448380067,179.4136111111111,192,0.11458333333333333,False,142.75901554053047,356.9
695,13.64497147972158,311.542310125961,164.6022222222222,103,0.20388349514563106,True,142.14229594501205,355.36
147,15.10645591565299,177.59139898796238,167.4011111111111,220,0.10909090909090909,False,142.11273605879782,355.28
1192,10.340788982410038,195.66203891087542,158.14916666666664,114,0.24561403508771928,True,141.79529506422668,354.49
1057,38.413740274586814,361.3745929115808,229.58805555555554,132,0.22727272727272727,False,141.39469619297034,353.49
1178,19.024901604330037,187.11621147552955,174.30833333333334,209,0.1291866028708134,False,141.14634442851906,352.87
1197,11.767258165969508,218.51526353749026,159.6863888888889,101,0.32673267326732675,True,140.89567925241928,352.24
117,25.010543639060486,348.3578576717014,187.66555555555556,155,0.27741935483870966,False,140.72937988784804,351.82
840,9.537947867386142,231.44191022737553,155.54416666666665,148,0.24324324324324326,True,140.70844513923979,351.77
699,19.451587699466288,232.79826363587975,174.57583333333332,161,0.07453416149068323,False,140.6180620104259,351.55
632,18.27972795925553,192.02018924122544,171.7022222222222,213,0.16901408450704225,False,140.3155231000036,350.79
1401,19.48303469845595,177.1730850448154,174.14444444444445,209,0.1674641148325359,False,140.2158219079,350.54
1299,13.422355911834577,348.0237263333135,161.54138888888892,189,0.2698412698412698,True,139.85872872730144,349.65
1164,16.881763845984363,227.00928783704424,168.13555555555556,209,0.11961722488038277,False,139.75130812553283,349.38
256,7.775047326260517,172.77918593256308,150.73444444444448,126,0.3888888888888889,True,139.01477005191305,347.54
1122,9.74044074694384,178.51529359358207,153.58666666666664,116,0.22413793103448276,True,138.62664840479383,346.57
1259,14.214029332798244,342.9598210089334,161.36694444444444,116,0.25862068965517243,True,138.43019962767085,346.08
62,7.911671740254406,428.82353146589566,150.20638888888888,112,0.19642857142857142,True,138.32255246711003,345.81
226,20.643238788313774,263.57538078311967,173.4027777777778,155,0.12903225806451613,False,137.60682829554202,344.02
